Precursor Mass,Retention Time,Dataset,Source,Peak Name,HMDB Compounds,HMDB Fits,Metlin Compounds,Metlin Scores,MetFrag Compounds,MetFrag Scores
continuous,continuous,string,string,continuous,string,string,string,string,string,string
,,meta,meta,meta,meta,meta,meta,meta,meta,meta
149.0452,15.31,SynNeg 03/24,,,,,,,"C21067, C21057, C21040, C20569, C16639, C11476, C08373, C08354, C08353, C08346, C06115, C05052, C02604, C02479, C02205, C02204, C02096, C01510, C01508, C01488, C01394, C00508, C00476, C00312, C00310, C00309, C00259, C00216, C00181, C00121","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
428.0289,46.74,SynNeg 03/24,,,,,,,C10907,0.75
367.1523,26.05,SynNeg 03/24,,,,,,,C15145,0.75
87.0462,47.19,SynNeg 03/24,,,C00246,0.35,,,"C14440, C02632, C01769, C00849, C00810, C00466, C00246","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
328.1205,2.83,SynNeg 03/24,,,,,,,"C12166, C12165, C12178, C10722","0.78222666490336, 0.782011249652458, 0.75, 0.569438911033895"
431.1509,50.91,SynNeg 03/24,,,,,,,C17564,0.75
130.0872,29.07,SynNeg 03/24,,,,,,,"C21096, C21092, C16647, C16439, C16434, C08263, C06418, C02486, C02378, C01933, C01570, C00407, C00123","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
417.1878,16.68,SynNeg 03/24,,,,,,,C17820,0.75
117.0559,43.94,SynNeg 03/24,,,,,,,"C20827, C02804","0.0, 0.0"
234.1137,3.99,SynNeg 03/24,,,,,,,C09573,0.75
333.0609,12.85,SynNeg 03/24,,,,,,,"C01225, C04703, C10517, C04641","0.834036080273271, 0.821697499982025, 0.818228242936765, 0.816893913303973"
349.0902,54.3,SynNeg 03/24,,,,,,,"C08126, C17404, C19590","0.75846798274218, 0.756348215916531, 0.75"
481.2465,2.06,SynNeg 03/24,,,,,,,C17702,0.75
324.0738,42.67,SynNeg 03/24,,,,,,,"C07524, C08535","0.75, 0.268749833863673"
427.17,12.94,SynNeg 03/24,,,,,,,C08951,0.75
186.1135,1.39,SynNeg 03/24,,,,,,,"C12029, C01092","0.75, 0.0"
