Precursor Mass,Retention Time,Observation Confidence,Average Observation Score,Compound
continuous,continuous,continuous,continuous,string
,,,,meta
240.1095,12.74,0.614456471515,0.614456471515,C20263
277.1034,14.3,0.614188174516,0.614188174516,C09926
118.087,9.31,0.624645519349,0.624645519349,C06417
168.0634,13.82,0.75,0.52,C03493
120.0658,10.61,0.767527511537,0.767527511537,C00820
423.0594,10.53,0.75,0.75,C13967
366.1168,15.18,0.737732265053,0.737732265053,C08099
382.0945,10.05,0.75,0.75,C06628
359.154,10.7,0.819845875542,0.819845875542,C20455
365.1059,9.73,0.75,0.75,C10636
384.1508,9.34,0.913677841698,0.913677841698,C20887
151.0615,4.48,0.753391209984,0.753391209984,C00121
152.0705,7.91,0.782114464347,0.782114464347,C04350
495.3284,9.59,0.75,0.75,C16874
608.0903,25.04,0.75,0.75,C00043
166.0866,9.24,0.838831179358,0.838831179358,C20488
276.0696,7.32,0.675285816518,0.675285816518,C20911
433.1551,15.11,0.03273410725,0.03273410725,C14953
167.0335,25.14,0.765832868508,0.612916434254,C01606
137.0459,8.8,0.51,0.51,C00262
220.1179,13.57,0.644686346581,0.644686346581,C15545
667.2358,11.36,0.768034825871,0.768034825871,C08242
539.1187,10.94,0.75,0.75,C08745
130.0502,16.69,0.772226355764,0.564075451921,C02237
136.0762,10.31,0.611660651628,0.611660651628,C15561
248.0279,10.37,0.48,0.48,C00018
343.0478,10.63,0.75,0.75,C14432
775.5337,9.91,0.0,0.0,C13871
309.13,13.84,0.523801973681,0.523801973681,C09953
277.1042,25.04,0.0355568447801,0.0355568447801,C20407
338.12,11.65,0.750723687882,0.750723687882,C03868
335.0957,9.29,0.172086874054,0.172086874054,C10966
313.0727,11.35,0.75,0.75,C10201
325.0396,13.87,0.774371953506,0.774371953506,C03031
353.0679,10.04,0.0,0.0,C04733
251.1608,10.73,0.769619972672,0.769619972672,C14716
188.1758,11.36,0.75,0.75,C00612
250.0926,14.39,0.75,0.75,C01136
268.9987,10.87,0.75,0.75,C14584
667.2358,11.36,0.75,0.75,C02013
720.0163,9.8,0.75,0.75,C02739
308.0855,4.35,0.43,0.255,C00051
356.0672,10.56,0.75,0.75,C18730
154.0607,4.54,0.147332657718,0.147332657718,C05680
463.3075,13.02,0.75,0.75,C02513
348.0716,25.08,0.769635594168,0.604817797084,C01367
258.1108,9.73,0.75,0.75,C12181
407.1211,3.02,0.505773109373,0.505773109373,C14647
595.193,2.99,0.75,0.75,C07389
338.12,11.65,0.75,0.75,C04197
286.1513,6.44,0.75,0.75,C10587
327.1244,34.77,0.777506673635,0.777506673635,C17474
190.0706,25.02,0.75,0.75,C12109
473.1209,10.67,0.75,0.75,C06491
102.0556,16.72,0.679013361557,0.679013361557,C02926
433.1551,15.11,0.03273410725,0.03273410725,C14942
120.0658,10.61,0.816238098539,0.816238098539,C02115
151.0615,4.48,0.753391209984,0.753391209984,C02205
255.1012,14.4,0.205826070055,0.205826070055,C16584
401.2628,2.63,0.75,0.75,C09145
165.0549,10.33,0.786441137958,0.786441137958,C07114
203.0522,9.65,0.75,0.75,C20581
269.0953,5.19,0.670144827057,0.670144827057,C14564
