Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
Y_C00255, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00256, 0.853333333333, 0.353773310971, 0.0408502232643, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00257, 0.866666666667, 0.33993463424, 0.039252270517, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00258, 0.0266666666667, 0.161107279648, 0.0186030662546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
Y_C00259, 0.813333333333, 0.389643711899, 0.0449921803906, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00262, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00264, 0.866666666667, 0.33993463424, 0.039252270517, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00265, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00267, 0.92, 0.271293199325, 0.0313262403319, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00268, 0.866666666667, 0.33993463424, 0.039252270517, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00269, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00270, 0.76, 0.427083130081, 0.0493153120238, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00272, 0.92, 0.271293199325, 0.0313262403319, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00279, 0.88, 0.324961536185, 0.0375233260786, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00280, 0.0266666666667, 0.161107279648, 0.0186030662546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
Y_C00283, 0.946666666667, 0.224697327285, 0.0259458124788, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00294, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00295, 0.88, 0.324961536185, 0.0375233260786, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00299, 0.853333333333, 0.353773310971, 0.0408502232643, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00300, 0.0133333333333, 0.114697670227, 0.0132441461562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00301, 0.0133333333333, 0.114697670227, 0.0132441461562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00302, 0.8, 0.4, 0.0461880215352, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00307, 0.92, 0.271293199325, 0.0313262403319, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00310, 0.866666666667, 0.33993463424, 0.039252270517, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00311, 0.853333333333, 0.353773310971, 0.0408502232643, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00312, 0.88, 0.324961536185, 0.0375233260786, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00315, 0.84, 0.366606055596, 0.042332020977, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00318, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00319, 0.786666666667, 0.409661106553, 0.047303590029, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00320, 0.946666666667, 0.224697327285, 0.0259458124788, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00322, 0.946666666667, 0.224697327285, 0.0259458124788, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00325, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00327, 0.946666666667, 0.224697327285, 0.0259458124788, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00328, 0.866666666667, 0.33993463424, 0.039252270517, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00329, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00330, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00331, 0.88, 0.324961536185, 0.0375233260786, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00332, 0.893333333333, 0.308688984074, 0.0356443336102, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00334, 0.933333333333, 0.249443825785, 0.0288032919929, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00337, 0.8, 0.4, 0.0461880215352, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00339, 0.893333333333, 0.308688984074, 0.0356443336102, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00340, 0.0133333333333, 0.114697670227, 0.0132441461562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00341, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00342, 0.88, 0.324961536185, 0.0375233260786, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00343, 0.84, 0.366606055596, 0.042332020977, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00344, 0.0133333333333, 0.114697670227, 0.0132441461562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00345, 0.866666666667, 0.33993463424, 0.039252270517, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00346, 0.986666666667, 0.114697670227, 0.0132441461562, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00349, 0.0133333333333, 0.114697670227, 0.0132441461562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00350, 0.0133333333333, 0.114697670227, 0.0132441461562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00352, 0.84, 0.366606055596, 0.042332020977, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00354, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00355, 0.826666666667, 0.378535188442, 0.043709478589, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00356, 0.88, 0.324961536185, 0.0375233260786, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
