Precursor Mass,Retention Time,Dataset,Source,Peak Name,HMDB Compounds,HMDB Fits,Metlin Compounds,Metlin Scores,MetFrag Compounds,MetFrag Scores
continuous,continuous,string,string,continuous,string,string,string,string,string,string
,,meta,meta,meta,meta,meta,meta,meta,meta,meta
247.0352,10.99,HilNeg 03/24,,,,,,,"C18462, C19558, C04622, C04621","0.75, 0.665524595660296, 0.665524595660296, 0.665524595660296"
307.037,13.18,HilNeg 03/24,,,,,,,C17177,0.767337807606264
285.9866,9.13,HilNeg 03/24,,,,,,,C21069,0.75
130.0872,11.36,HilNeg 03/24,,,,,,,"C21096, C21092, C16647, C16439, C16434, C08263, C06418, C02486, C02378, C01933, C01570, C00407, C00123","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
486.1061,14.84,HilNeg 03/24,,,,,,,"C18429, C02555","0.75, 0.478594605628517"
158.0606,9.41,HilNeg 03/24,,,,,,,"C14789, C10663, C06345, C00637","0.0, 0.0, 0.0, 0.0"
118.0515,10.5,HilNeg 03/24,,,,,,,"C11108, C12317, C05519, C00820, C00263, C00188, C02115, C03678","0.932610379550736, 0.919104106693342, 0.919104106693342, 0.919104106693342, 0.919104106693342, 0.919104106693342, 0.875726879737494, 0.75"
293.1779,8.88,HilNeg 03/24,,,,,,,"C09709, C10462, C10342","0.77341779093106, 0.75, 0.746680389168853"
403.0034,10.8,HilNeg 03/24,,,,,,,C13104,0.0
618.0487,10.96,HilNeg 03/24,,,,,,,C00976,0.75
185.1186,9.12,HilNeg 03/24,,,,,,,"C02217, C20714, C11417, C11404, C11420, C11406, C17620, C13945","0.918840579710145, 0.896376811594203, 0.886231884057971, 0.886231884057971, 0.83768115942029, 0.83768115942029, 0.75, 0.152323294422591"
296.1018,7.99,HilNeg 03/24,,,,,,,C05342,0.75
231.0316,10.21,HilNeg 03/24,,,,,,,C02951,0.75
290.0257,10.94,HilNeg 03/24,,,,,,,C06604,0.75
263.0987,2.76,HilNeg 03/24,,,,,,,C17967,0.75
201.0258,14.0,HilNeg 03/24,,,,,,,C12248,0.75
330.12,12.21,HilNeg 03/24,,,,,,,C03996,0.75
313.0367,10.23,HilNeg 03/24,,,,,,,"C10541, C06921","0.802665410999437, 0.75"
425.0852,19.58,HilNeg 03/24,,,,,,,C05526,0.75
362.0848,9.61,HilNeg 03/24,,,,,,,"C06878, C19021","0.75, 0.21809955484527"
341.0979,10.49,HilNeg 03/24,,,,,,,C01121,0.75
316.1189,9.59,HilNeg 03/24,,,,,,,"C12239, C12168, C12174, C10166, C18815","0.815797482830696, 0.804197104042818, 0.75, 0.570430025613718, 0.0"
161.0456,8.31,HilNeg 03/24,,,C02360,0.6,,,"C16390, C02360, C06158, C02991, C06478, C06474, C18028, C17209, C06485, C20902, C00478, C01989, C01088, C06159, C03979, C03827, C03652, C11592, C03761, C02488","0.82677307818385, 0.809292438505922, 0.772187593823084, 0.772187593823084, 0.771405854118618, 0.771405854118618, 0.771048814594417, 0.743107190286246, 0.741968411057579, 0.734028830225779, 0.711485573423595, 0.673572284827419, 0.667745531107407, 0.616396515899013, 0.616396515899013, 0.616396515899013, 0.606318319725311, 0.572050896826579, 0.394907053943907, 0.376117196670904"
193.0525,8.8,HilNeg 03/24,,,C10470,0.36,,,"C09974, C12204, C10470, C01494, C16982, C10477, C02379, C00779, C15347","0.84971846826264, 0.839573540726408, 0.815660497248147, 0.815660497248147, 0.797463768115942, 0.760225714639451, 0.755797101449275, 0.75, 0.0"
417.1584,12.5,HilNeg 03/24,,,,,C07267,9.0,"C10889, C09435, C09493","0.878415827277395, 0.754243281471004, 0.75"
111.0202,4.24,HilNeg 03/24,,,,,C00106,73.0,"C00106, C18474","0.807994896874336, 0.739517510093586"
297.2449,34.85,HilNeg 03/24,,,,,C19418,69.0,"C00869, C19418, C13791, C19616, C08365","0.758600403188617, 0.75, 0.75, 0.0538995968113831, 0.0538995968113831"
110.0353,6.28,HilNeg 03/24,,,,,,,C00380,0.0
461.1583,8.77,HilNeg 03/24,,,,,,,C20995,0.75
564.2061,10.56,HilNeg 03/24,,,,,,,C09464,0.75
747.144,10.73,HilNeg 03/24,,,,,,,C16770,0.75
143.0466,6.59,HilNeg 03/24,,,,,,,C19485,0.0
114.0565,9.29,HilNeg 03/24,,,,,,,"C18170, C16435, C00763, C00148","0.0, 0.0, 0.0, 0.0"
395.085,12.99,HilNeg 03/24,,,,,,,C20927,0.75
501.2192,9.11,HilNeg 03/24,,,,,,,C09746,0.75
275.0898,20.3,HilNeg 03/24,,,,,,,"C20912, C17838, C17483, C09489, C05282, C01425","0.899220179836079, 0.372112946797468, 0.368134272491746, 0.361945685519562, 0.135384003819281, 0.125296754691801"
261.0002,16.24,HilNeg 03/24,,,,,,,C18979,0.75
310.1535,8.42,HilNeg 03/24,,,,,,,"C10931, C14517","0.788847786443901, 0.75"
147.0674,2.71,HilNeg 03/24,,,,,,,"C21062, C21055, C21054, C21045, C06471, C06007, C04104, C03348, C02104, C00418, C00522","0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.0"
675.2421,10.76,HilNeg 03/24,,,,,,,C12954,0.75
233.1555,2.57,HilNeg 03/24,,,,,,,"C17492, C20309, C19678, C17491, C09721, C17504, C17489, C16949, C09739, C09712, C09677, C09686, C09409, C20404, C09743, C09399, C09376, C09350, C16942, C17609","0.912004572410017, 0.88208435964406, 0.88208435964406, 0.88208435964406, 0.88208435964406, 0.874770529856826, 0.874770529856826, 0.874770529856826, 0.874770529856826, 0.874770529856826, 0.874770529856826, 0.873773189431294, 0.852164146878102, 0.850252577729166, 0.844850317090868, 0.779920212765957, 0.779920212765957, 0.779920212765957, 0.756981382978723, 0.75"
369.0047,20.36,HilNeg 03/24,,,,,,,"C19879, C13410, C11472, C00447","0.0, 0.0, 0.0, 0.0"
300.1315,10.87,HilNeg 03/24,,,,,,,"C10677, C10698","0.803547473582312, 0.75"
281.1098,7.78,HilNeg 03/24,,,,,,,C15084,0.75
313.0538,12.38,HilNeg 03/24,,,,,,,"C11185, C06939","0.917936874518861, 0.301943364566877"
278.1413,9.26,HilNeg 03/24,,,,,,,"C18626, C10947","0.75, 0.75"
130.088,8.2,HilNeg 03/24,,,,,,,"C02378, C16439, C01933, C01570, C00123, C08263, C02486","0.813488759367194, 0.770815986677769, 0.770815986677769, 0.770815986677769, 0.770815986677769, 0.75895087427144, 0.75"
128.0359,15.77,HilNeg 03/24,,,,,,,"C04282, C04281, C02237, C01879, C01877","0.0, 0.0, 0.0, 0.0, 0.0"
521.1285,10.97,HilNeg 03/24,,,,,,,"C10465, C02539","0.75, 0.239422716630603"
241.2191,34.97,HilNeg 03/24,,,,,,,"C16665, C16537","0.0, 0.0"
367.2164,2.16,HilNeg 03/24,,,,,"C05964, C05962, C05956","31.0, 18.0, 14.0","C05956, C05962, C05964, C12202, C17655, C17653, C07506","0.900618982118294, 0.892022008253095, 0.862104539202201, 0.839752407152682, 0.75, 0.75, 0.135389788875961"
429.2234,10.72,HilNeg 03/24,,,,,,,C15425,0.75
153.03,8.82,HilNeg 03/24,,,,,,,"C19323, C19322, C19321, C06608, C03762, C03277","0.75, 0.75, 0.75, 0.059947748875745, 0.0, 0.0"
416.058,9.83,HilNeg 03/24,,,,,,,C20799,0.75
176.9492,16.89,HilNeg 03/24,,,,,,,"C07097, C07094, C06600, C02933","0.771983311938383, 0.771983311938383, 0.771983311938383, 0.75"
201.0531,20.26,HilNeg 03/24,,,,,,,"C20961, C18750, C03569, C20856, C20805","0.798842592592593, 0.43833249368754, 0.418540827020873, 0.41344823442828, 0.41344823442828"
492.311,6.74,HilNeg 03/24,,,,,,,C12065,0.75
316.1545,15.54,HilNeg 03/24,,,,,,,"C08516, C12238, C10692, C08530, C13794, C13730, C14988, C15007","0.780084354114057, 0.778847046774604, 0.777159158394842, 0.772855276179881, 0.75, 0.619265008377582, 0.337796130266261, 0.244716806714265"
277.0952,11.34,HilNeg 03/24,,,,,,,"C08561, C20577","0.75, 0.65056432506742"
207.0456,14.8,HilNeg 03/24,,,,,,,"C11445, C03243, C18534, C16207","0.875471698113208, 0.802830188679245, 0.783490566037736, 0.75"
338.1081,34.86,HilNeg 03/24,,,,,,,C07436,0.75
355.1967,35.0,HilNeg 03/24,,,,,,,C15267,0.75
195.0519,14.9,HilNeg 03/24,,,,,C00257,100.0,"C15930, C00880, C00817, C00800, C00770, C00514, C00257, C03215","0.839966249472648, 0.839966249472648, 0.839966249472648, 0.839966249472648, 0.839966249472648, 0.839966249472648, 0.839966249472648, 0.827309801715652"
367.1501,9.89,HilNeg 03/24,,,,,,,C15145,0.75
252.0481,9.83,HilNeg 03/24,,,,,,,"C11467, C07315","0.75, 0.151849330585641"
477.2001,11.26,HilNeg 03/24,,,,,,,"C19517, C08184, C11177, C17429","0.883137622402071, 0.752049180327869, 0.745449436281125, 0.0654643887015762"
116.0505,9.43,HilNeg 03/24,,,,,,,"C16074, C00463","0.0, 0.0"
473.2246,2.29,HilNeg 03/24,,,,,,,"C10671, C17049","0.831017062564523, 0.75"
155.0463,13.52,HilNeg 03/24,,,,,,,"C03680, C05568, C03817, C19481","0.865107098756241, 0.787775708248331, 0.787775708248331, 0.75"
206.0831,9.9,HilNeg 03/24,,,,,"C05620, C03519","54.0, 34.0","C05620, C03519, C09986, C09933, C20126","0.854163678952149, 0.854163678952149, 0.728255596848994, 0.726304698623164, 0.56304788148233"
202.0498,10.37,HilNeg 03/24,,,,,,,"C10127, C00331","0.75, 0.403738106132323"
263.1016,10.99,HilNeg 03/24,,,,,C05642,3.0,"C04148, C17967, C05642","0.833750301904603, 0.75, 0.367417253017314"
315.0851,15.43,HilNeg 03/24,,,,,,,"C11706, C14969, C17126, C16914, C16925, C10457, C10204","0.768848823756267, 0.733829742773008, 0.616832213625833, 0.612011542588424, 0.605744670239794, 0.280186898913529, 0.280186898913529"
556.1182,9.91,HilNeg 03/24,,,,,,,"C21074, C21073, C08115","0.786606295437462, 0.786606295437462, 0.75"
282.0604,10.54,HilNeg 03/24,,,,,,,C18801,0.75
