Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
Y_C00227, 0.6, 0.489897948557, 0.0979795897113, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00229, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00231, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00232, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00233, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00234, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00235, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00236, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00237, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00242, 0.72, 0.448998886413, 0.0897997772826, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00243, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00245, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00246, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00249, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00250, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00252, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00253, 0.72, 0.448998886413, 0.0897997772826, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00255, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00256, 0.64, 0.48, 0.096, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00257, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00258, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00259, 0.72, 0.448998886413, 0.0897997772826, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00262, 0.8, 0.4, 0.08, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00264, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00265, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00267, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00268, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00269, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00270, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00272, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00275, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00279, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00280, 0.64, 0.48, 0.096, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00283, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00294, 0.68, 0.466476151588, 0.0932952303175, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00295, 0.76, 0.427083130081, 0.0854166260163, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00299, 0.72, 0.448998886413, 0.0897997772826, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00300, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00301, 0.72, 0.448998886413, 0.0897997772826, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00302, 0.6, 0.489897948557, 0.0979795897113, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00307, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00310, 0.6, 0.489897948557, 0.0979795897113, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00311, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00312, 0.68, 0.466476151588, 0.0932952303175, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00314, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00315, 0.88, 0.324961536185, 0.0649923072371, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00318, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00319, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00320, 0.64, 0.48, 0.096, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00322, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00325, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00327, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00328, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00329, 0.64, 0.48, 0.096, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00330, 0.76, 0.427083130081, 0.0854166260163, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00331, 0.6, 0.489897948557, 0.0979795897113, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00332, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00334, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00337, 0.64, 0.48, 0.096, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00339, 0.68, 0.466476151588, 0.0932952303175, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00340, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00341, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00342, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00343, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00344, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00345, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00346, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00349, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00350, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00352, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00353, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00354, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00355, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00356, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00357, 0.76, 0.427083130081, 0.0854166260163, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00366, 0.56, 0.49638694584, 0.0992773891679, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00369, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00370, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00376, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00378, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00379, 0.72, 0.448998886413, 0.0897997772826, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00381, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00385, 0.52, 0.499599839872, 0.0999199679744, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00386, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00387, 0.56, 0.49638694584, 0.0992773891679, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00388, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00398, 0.6, 0.489897948557, 0.0979795897113, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00401, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00402, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00404, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
